"id";"text";"screen_name";"created_at";"geo";"in_reply_to_screen_name";"source"
"198376157488490000";"Hey Apple, release a new Mac Mini already! :)";"peterhellberg";"2012-05-04 14:38:28";"";"";"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"
"198376156309890000";"RT _@username RT _@username iTunesのGuitar Drop Riddimのコメント「どの曲もいいね！ちゃんとレゲエだし。こんな日本語のレゲエは好き」いいね〜！http://t.co/HJh6GNhq";"HASE_T";"2012-05-04 14:38:28";"";"";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376160965570000";"_@username в нашем то возрасте надо познавать не прелести продукции apple,а кое что другое)))";"KozlovaP";"2012-05-04 14:38:28";"";"Milanochka_19";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376161364030000";"Apple MacBook 9mm Bare Combo Drive IDE 8221A CW-8221-C 678-0527A: Product Description
It is a Orignal Apple MacB... _@URL";"ebomyrasux";"2012-05-04 14:38:28";"";"";"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
"198376163809310000";"MacBook Fan Assembly 13"" - 922-8273 911: Additional Product Information: Santa Rosa Models (without Apple key) (... _@URL";"ebomyrasux";"2012-05-04 14:38:29";"";"";"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
"198376164635580000";"RT _@username Lethal - Rising EP - iTunes pre-order link:
http://t.co/XJlMuDdC
#drumandbass";"JAPHabot";"2012-05-04 14:38:29";"";"";"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
"198376165977760000";"Вот получил бандерольку из #Apple .
Бесплатно. Хотя когда то этот диск покупал еще за 30$  _@URL _@URL";"casarico";"2012-05-04 14:38:30";"";"";"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"
"198376169798770000";"Winst mobiele markt naar Apple en Samsung: AMSTERDAM – Apple en Samsung zijn goed voor 99 procent van de winst u... _@URL";"inetnieuws";"2012-05-04 14:38:31";"";"";"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>"
"198376173078710000";"RT _@username When I see a bruised apple at the market, I give it a soft hug and whisper, ""Who did this to you?""";"l0veTheBiebs";"2012-05-04 14:38:31";"";"";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376175691760000";"RT _@username An apple a day keeps the doctor away, but garlic a day keeps everybody away.";"Claudialoveshim";"2012-05-04 14:38:32";"";"";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376176257990000";"_@username Нельзя полагаться Га технику. К тому же у Apple нет Word :) К тому же на устройствах. Так что будет Орёл, через Ё.";"alexnosov";"2012-05-04 14:38:32";"";"Hyper_Soii";"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
"198376177050720000";"Eating Apple! :""&gt;";"Reigx10";"2012-05-04 14:38:32";"";"";"web"
"198376178594230000";"Apple juice is good to me";"LOUDMOUTH_CHILD";"2012-05-04 14:38:33";"";"";"<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>"
"198376178506150000";"Check out this great item: Silicone Skin Soft Case for Apple iPhone 4G - Black _@URL";"GrandCHllc";"2012-05-04 14:38:33";"";"";"<a href=""http://www.froo.com"" rel=""nofollow"">Froo! Smart Social</a>"
"198376178778770000";"RT _@username Samsung CEO urges Apple to fully demo iOS 6 at WWDC so Samsung can ship its tablet in Q4.";"Meersie";"2012-05-04 14:38:33";"";"";"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>"
"198376182809510000";"RT _@username Rumor: Apple's next iPhone will be 2mm thinner with 4"" screen, metal back _@URL";"thuso_mo";"2012-05-04 14:38:34";"";"";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376186177530000";"OS X ハッキング!  人気記事 一覧 1日: 人気記事 一覧 * 1日 * 1週間 * 1カ月 * 瞬間 * 1 【連載】企業向けiOS運用のベストプラクティス 第4回 Apple ConfiguratorとMDMを使い分ける... _@URL";"takarorss";"2012-05-04 14:38:34";"";"";"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"
"198376188333400000";"[Photo] 360-Grad-Knipse: #Panorama-Fotos mit dem iPhone ... | TechFieber | Smart Tech News. Hot #Gadgets. _@URL #Apple";"techfieber";"2012-05-04 14:38:35";"";"";"<a href=""http://tweetmeme.com"" rel=""nofollow"">TweetMeme</a>"
"198376188626990000";"Just in case you are stuck in an Apple Store with nothing but a 6 pack of beer... _@URL";"evankarras";"2012-05-04 14:38:35";"";"";"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"
"198376188899630000";"Стала известна российская стоимость Samsung Galaxy S III _@URL via _@username #samsung #GalaxySIII #apple #iPad #iPhone5";"praktikadesign";"2012-05-04 14:38:35";"";"";"<a href=""http://www.twitvance.com"" rel=""nofollow"">TwitVance</a>"
"198376189910470000";"#ビートルズ　Penny Lane _@URL";"i_juke";"2012-05-04 14:38:35";"";"";"<a href=""http://google.com"" rel=""nofollow"">ijuke</a>"
"198376193635010000";"Apple Mini Theme _@URL _@username";"appmometer";"2012-05-04 14:38:36";"";"";"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>"
"198376193454650000";"Big apple ;) _@URL";"zerotozoro";"2012-05-04 14:38:36";"";"";"<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>"
"198376194247380000";"RT _@username Oh, you're having a bad day? In 1976, Ronald Wayne sold his 10% stake in Apple for $800. Now it's worth $58,065,210,000.";"AllyKillen";"2012-05-04 14:38:37";"";"";"<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"198376195698610000";"Lol Apple would never hire an orchestra to play at their keynote #UNPACKED #SamsungFTW";"PDTalkinTech";"2012-05-04 14:38:37";"";"";"web"
"198376197695080000";"Dwyer air flow app  _@URL";"energytwip";"2012-05-04 14:38:37";"";"";"web"
"198376202602410000";"RT _@username How Leapfrog could become the mini-Apple for kids ages 4 to 9 _@URL";"wisaroot";"2012-05-04 14:38:38";"";"";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"198376202254290000";"_@username _@username _@username _@username Agora digam qual é o melhor smartphone do mundo _@URL";"sauloesdras";"2012-05-04 14:38:39";"";"nivaldomjunior";"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"
"198376203688750000";"I liked a _@username video from _@username _@URL Apple Byte: Your iPhone won't kill you";"NicholasMossad";"2012-05-04 14:38:39";"";"";"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"
"198376207228740000";"RT _@username RT als je iets van Uggs, Adidas, Apple of Blackberry hebt. =)";"xHannessju";"2012-05-04 14:38:40";"";"";"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"
"198376209627880000";"命令して、待つだけの、ワンタップRPG『モンスターを集めてまいれ！2』無料配信中 _@URL #monnatsu2";"lingmu_sz";"2012-05-04 14:38:40";"";"";"<a href=""http://itunes.apple.com/us/app/hunt-the-monsters!-2/id501289786?mt=8&uo=4"" rel=""nofollow"">HUNT THE MONSTERS! 2 on iOS</a>"
"198376209762090000";"#Apple et #Samsung représentent 99% des bénéfices du marché des mobiles _@URL";"gribemont";"2012-05-04 14:38:40";"";"";"<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>"
"198376210672260000";"Both Apple &amp; Samsung planning bigger smartphone screen sizes.  New G3 going to nearly 5"". Too big to hold &amp; pocket? _@URL";"SushTalk";"2012-05-04 14:38:40";"";"";"<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>"
"198376211544670000";"RT _@username Can u tweet this for me Ray Lavender feat Jordan Humphrey ""Tequila"" Available On ITUNES _@URL _@username ...";"BI_Bang";"2012-05-04 14:38:41";"";"";"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
